MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037180E,ENDUR_S32_25V_ALL,Endurance S32 25V Allocation,2/1/2021,218.5172,,,57.01984473
49037182E,ENDUR_S32_26V_ALL,Endurance S32 26V Allocation,2/1/2021,526.2224,,,181.5415827
49037201S,ENDUR_S32_7WP_CK,Endurance S32 1595 Sales Check,2/1/2021,1470.809,,,189.2564869
49037198E,ENDUR_S32_7WP_CMP1,Endurance S32 1595 Comp.1,2/1/2021,632.0969,,,194.4423156
49037199S,ENDUR_S32_7WP_CMP2,Endurance S32 1595 Comp.2,2/1/2021,495.6286,,,193.5391508
49037200S,ENDUR_S32_7WP_FG,Endurance S32 1595 Fuel Gas,2/1/2021,138.9876,,,102.0532214
49037204S,ENDUR_UNIT_21_32,Endurance Unit 21-32,2/1/2021,11.1129,,,35.52812553
49037202S,ENDUR_UNIT_23_5,Endurance Unit  23-5,2/1/2021,147.1448,,,400.4375761
49037219E,ENDUR_UNIT_23_5_GL,Endurance 23-5 Gas Lift Meter,2/1/2021,579.2219,,,409.3300746
49037206E,ENDUR_UNIT_44_29,Endurance Unit 44-29,2/1/2021,82.73962,,,188.356937
49037203S,ENDUR_UNIT_44_32,Endurance Unit  44-32,2/1/2021,201.5495,,,81.30677761
49037210E,MANCMP_FTUN_CK,ManCamp Sales Check,2/1/2021,5614.224,,,225.0713719
49037209E,MANCMP_FTUN_FG,ManCamp Fuel Gas,2/1/2021,32.073,,,108.7249063
49037211S,MANCMP_FTUN_VRU,ManCamp VRU,2/1/2021,0,,,11.45435797
49037212S,MANCMP_S08_23V_ALL,FTUN 1495 S08-23V Allocation,2/1/2021,1675.231,725.3195655,223.1948499,216.5024452
49037213S,MANCMP_S08_24V_ALL,FTUN 1495 S08-24V Allocation,2/1/2021,1104.901,440.9960852,219.9759566,216.3133172
49037214S,MANCMP_S17_02V_ALL,FTUN 1495 S17-02V Allocation,2/1/2021,1403.187,483.8041383,219.4690555,216.1489067
49037215E,MANCMP_S17_03V_ALL,FTUN 1495 S17-03V Allocation,2/1/2021,1344.78,505.0358936,221.9180732,216.2610365
49037216E,POLAR_BAR_2,Polar Bar 2,2/1/2021,261.5911,,,173.7254181
49037217E,POWDER_MNT_34_26S2SR,Powder Mnt  34-26 s2sr,2/1/2021,46.58928,,,367.9885868
49037218E,WEST_SLOPE_33_32,West Slope  33-32,2/1/2021,77.28484,,,173.8811083
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,2/2/2021,173.224,,,188.2905141
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,2/2/2021,209.2225,,,208.5076049
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,2/2/2021,464.6587,,,60.45697768
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,2/2/2021,954.2952,,,197.7232214
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,2/2/2021,258.0355,,,221.8915361
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,2/2/2021,531.8345,,,193.283556
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,2/2/2021,383.6152,,,40.10954218
49037117E,BARCAD_22_06H_5H,Barricade 22-06H 5H,2/2/2021,242.7838,,,36.47787369
49037118E,BARCAD_23_31_CP,Barricade 23-31 Sales,2/2/2021,800.9597,,,198.2520897
49037119E,BARCAD_23_31H_2H,Barricade 23-31H 2H,2/2/2021,102.4383,289.5177874,211.3278953,39.42579033
49037121E,BARCAD_23_31H_3H,Barricade 23-31H 3H,2/2/2021,752.9671,345.1693543,-6.362901267,199.9002186
